timestamp_s,voltage_V,current_A
0.0,9.0075,0.4017
1.0,8.9979,0.3995
2.0,9.0097,0.4012
3.0,9.0228,0.4011
4.0,8.9965,0.3985
5.0,8.9965,0.3989
6.0,9.0237,0.4018
7.0,9.0115,0.4054
8.0,8.993,0.4036
9.0,9.0081,0.3966
10.0,8.993,0.3966
11.0,8.993,0.3984
12.0,9.0036,0.4003
13.0,8.9713,0.4001
14.0,8.9741,0.4037
15.0,8.9916,0.4039
16.0,8.9848,0.4
17.0,9.0047,0.3993
18.0,8.9864,0.4016
19.0,8.9788,0.4032
20.0,9.022,0.4017
21.0,8.9966,0.3987
22.0,9.001,0.3982
23.0,8.9786,0.3967
24.0,8.9918,0.4006
25.0,9.0017,0.4019
26.0,8.9827,0.4022
27.0,9.0056,0.4035
28.0,8.991,0.4044
29.0,8.9956,0.3959
30.0,8.991,0.4012
31.0,9.0278,0.4013
32.0,8.9998,0.3998
33.0,8.9841,0.3975
34.0,9.0123,0.4043
35.0,8.9817,0.3982
36.0,9.0031,0.3934
37.0,8.9706,0.4001
38.0,8.9801,0.3993
39.0,9.003,0.4056
40.0,9.0111,0.4015
41.0,9.0026,0.3991
42.0,8.9983,0.3994
43.0,8.9955,0.3994
44.0,8.9778,0.4067
45.0,8.9892,0.402
46.0,8.9931,0.3958
47.0,9.0159,0.3993
48.0,9.0052,0.3999
49.0,8.9736,0.3967
50.0,9.0049,0.3947
51.0,8.9942,0.4018
52.0,8.9898,0.3976
53.0,9.0092,0.4037
54.0,9.0155,0.4
55.0,9.014,0.3986
56.0,8.9874,0.3927
57.0,8.9954,0.4037
58.0,9.005,0.4009
59.0,9.0146,0.3987
60.0,8.9928,0.3973
61.0,8.9972,0.4048
62.0,8.9834,0.3968
63.0,8.9821,0.3989
64.0,9.0122,0.4017
65.0,9.0203,0.4044
66.0,8.9989,0.3994
67.0,9.0151,0.3978
68.0,9.0054,0.3997
69.0,8.9903,0.4027
70.0,9.0054,0.4034
71.0,9.0231,0.3959
72.0,8.9995,0.4003
73.0,9.0235,0.3957
74.0,8.9607,0.4027
75.0,9.0123,0.4013
76.0,9.0013,0.3972
77.0,8.9955,0.4046
78.0,9.0014,0.401
79.0,8.9702,0.4007
80.0,8.9967,0.3995
81.0,9.0054,0.4
82.0,9.0222,0.3989
83.0,8.9922,0.3978
84.0,8.9879,0.4037
85.0,8.9925,0.3985
86.0,9.0137,0.3984
87.0,9.0049,0.3996
88.0,8.9921,0.4043
89.0,9.0077,0.4034
90.0,9.0015,0.3988
91.0,9.0145,0.4037
92.0,8.9895,0.4003
93.0,8.9951,0.3975
94.0,8.9941,0.3986
95.0,8.978,0.4041
96.0,9.0044,0.4062
97.0,9.0039,0.401
98.0,9.0001,0.3983
99.0,8.9965,0.3996
100.0,8.9788,0.3977
101.0,8.9937,0.3981
102.0,8.9949,0.3979
103.0,8.988,0.3998
104.0,8.9976,0.4004
105.0,9.0061,0.3996
106.0,9.0283,0.3993
107.0,9.0026,0.4023
108.0,9.0039,0.3993
109.0,8.9989,0.3995
110.0,8.9712,0.3995
111.0,8.9996,0.4046
112.0,9.0009,0.3985
113.0,9.0369,0.4018
114.0,8.9971,0.3978
115.0,9.0045,0.401
116.0,8.9995,0.4016
117.0,8.9825,0.4033
118.0,9.0171,0.3988
119.0,9.0113,0.3967
120.0,9.0119,0.3976
121.0,8.9864,0.4029
122.0,9.021,0.4062
123.0,8.979,0.4025
124.0,9.0088,0.3962
125.0,9.0329,0.4024
126.0,8.9851,0.3972
127.0,8.9915,0.399
128.0,9.0015,0.4006
129.0,8.9924,0.4011
130.0,8.9767,0.4002
131.0,9.001,0.3982
132.0,8.9841,0.4032
133.0,9.0071,0.3984
134.0,8.9862,0.4038
135.0,9.0232,0.3959
136.0,8.9883,0.4006
137.0,8.9952,0.3963
138.0,9.0122,0.3975
139.0,8.9815,0.3985
140.0,9.0034,0.4046
141.0,9.0196,0.4039
142.0,8.9759,0.4026
143.0,9.0028,0.4001
144.0,9.0039,0.4006
145.0,9.0117,0.4038
146.0,8.9814,0.4021
147.0,8.9802,0.4001
148.0,9.0078,0.4045
149.0,9.0045,0.4024
150.0,9.0038,0.4007
151.0,9.0052,0.3986
152.0,8.9898,0.3984
153.0,9.0035,0.399
154.0,9.0044,0.4014
155.0,8.9893,0.4025
156.0,9.028,0.3957
157.0,9.0071,0.3942
158.0,8.9821,0.3971
159.0,9.0098,0.3988
160.0,8.9854,0.4036
161.0,9.0118,0.3992
162.0,9.0174,0.4008
163.0,8.9877,0.4013
164.0,9.0145,0.3969
165.0,9.0062,0.4044
166.0,9.0123,0.398
167.0,9.0285,0.4047
168.0,8.9963,0.3996
169.0,8.9887,0.399
170.0,8.9867,0.3967
171.0,8.9878,0.4006
172.0,8.9988,0.4068
173.0,9.0051,0.4012
174.0,9.0042,0.4008
175.0,9.0124,0.398
176.0,9.0002,0.4018
177.0,9.0218,0.4005
178.0,8.996,0.3998
179.0,9.0408,0.4015
180.0,9.0094,0.3946
181.0,8.9871,0.3997
182.0,8.9839,0.3964
183.0,9.0072,0.4001
184.0,8.9966,0.3978
185.0,9.0107,0.398
186.0,9.0071,0.396
187.0,8.9989,0.4033
188.0,8.9873,0.398
189.0,8.9773,0.3981
190.0,8.9933,0.4046
191.0,9.0128,0.4017
192.0,9.0032,0.3939
193.0,8.9813,0.4042
194.0,9.0026,0.4049
195.0,9.0058,0.4047
196.0,8.9867,0.402
197.0,9.0023,0.3967
198.0,9.0009,0.3999
199.0,8.9829,0.3957
200.0,9.0054,0.3974
201.0,9.0084,0.3967
202.0,9.0162,0.3981
203.0,9.0158,0.4005
204.0,8.9793,0.3987
205.0,8.9859,0.3985
206.0,9.0077,0.3991
207.0,9.0077,0.4045
208.0,9.0077,0.4065
209.0,9.0578,0.3986
210.0,9.0086,0.401
211.0,9.017,0.3975
212.0,9.0143,0.4023
213.0,9.0098,0.3986
214.0,8.9953,0.3979
215.0,9.0114,0.406
216.0,8.9884,0.3959
217.0,8.9964,0.3926
218.0,8.9927,0.4022
219.0,9.0012,0.3989
220.0,9.0347,0.3981
221.0,8.972,0.4082
222.0,9.0103,0.4022
223.0,8.9758,0.3998
224.0,8.9929,0.3979
225.0,9.0163,0.4013
226.0,9.001,0.3948
227.0,8.9838,0.3985
228.0,8.9893,0.3999
229.0,9.0102,0.4006
230.0,8.989,0.3996
231.0,9.0032,0.3979
232.0,9.0007,0.4028
233.0,8.9902,0.395
234.0,9.0322,0.3992
235.0,9.0095,0.3984
236.0,8.9696,0.403
237.0,9.0028,0.3986
238.0,8.9901,0.4013
239.0,9.0128,0.401
240.0,8.9881,0.3945
241.0,8.9983,0.3998
242.0,9.0076,0.3948
243.0,9.013,0.4011
244.0,8.982,0.3978
245.0,8.995,0.4036
246.0,8.9929,0.3995
247.0,8.9902,0.3977
248.0,9.0265,0.4036
249.0,9.0061,0.3974
250.0,8.9811,0.4027
251.0,9.0138,0.4014
252.0,9.0318,0.3989
253.0,9.0155,0.396
254.0,8.9772,0.4037
255.0,8.9927,0.4015
256.0,9.019,0.3977
257.0,8.9894,0.4007
258.0,9.0067,0.403
259.0,9.0116,0.4003
260.0,8.9861,0.4007
261.0,8.9991,0.4031
262.0,8.9514,0.4046
263.0,8.9846,0.3996
264.0,8.9962,0.396
265.0,8.9813,0.3961
266.0,9.0245,0.3979
267.0,8.9785,0.3972
268.0,8.9934,0.395
269.0,9.002,0.4055
270.0,9.0216,0.4016
271.0,8.9785,0.3984
272.0,9.0174,0.3999
273.0,9.0002,0.3946
274.0,8.9853,0.4035
275.0,9.0069,0.3942
276.0,9.003,0.4015
277.0,8.991,0.3945
278.0,9.001,0.3988
279.0,8.9942,0.4037
280.0,9.0017,0.3951
281.0,9.0099,0.3996
282.0,9.0238,0.4019
283.0,8.9814,0.4014
284.0,9.032,0.4002
285.0,8.9707,0.4015
286.0,8.9977,0.3982
287.0,9.0088,0.4058
288.0,9.0042,0.3952
289.0,8.9907,0.4035
290.0,8.9969,0.4006
291.0,8.9926,0.4019
292.0,8.9912,0.4024
293.0,9.0127,0.4017
294.0,9.0054,0.3976
295.0,8.9896,0.3991
296.0,9.0135,0.3956
297.0,9.0046,0.3991
298.0,9.0122,0.401
299.0,9.0094,0.4018
300.0,8.9876,0.4012
301.0,8.9916,0.3947
302.0,9.0112,0.3983
303.0,9.0092,0.398
304.0,8.9997,0.3961
305.0,9.0018,0.3975
306.0,9.0192,0.4
307.0,8.9911,0.4042
308.0,9.0082,0.3971
309.0,8.997,0.3966
310.0,8.9967,0.3982
311.0,9.0165,0.401
312.0,9.0124,0.4037
313.0,9.0122,0.3997
314.0,9.0196,0.3957
315.0,9.0003,0.3963
316.0,9.0102,0.4006
317.0,8.9953,0.403
318.0,9.0049,0.4054
319.0,8.998,0.3965
320.0,9.0015,0.4004
321.0,9.0089,0.3969
322.0,8.9877,0.3973
323.0,9.0314,0.3971
324.0,8.9849,0.399
325.0,8.9818,0.3974
326.0,9.0174,0.4074
327.0,9.0119,0.3986
